website,address,houseNr,postnum,city,suggest_price,latest_price,priceOfferDueDate,yearbuilt,insidem2,outsidem2,roomqty,floorlevels,img_urls
Betri,Á Merkrunum ,1,360 ,Sandavágur,1345000,,,1910,196,397,6,3,https://betriheim.cdn.fo/savn/5ukpebit/e-3.jpg?width=400&height=233&rmode=max&quality=50&t=72&s=T5Qx6Zmy2wthNCNptLVx2-l371c
Betri,Traðarvegur ,5A,410 ,Kollafjørður,595000,500000,2023-11-06 11:00:00,,,597,,,https://betriheim.cdn.fo/savn/yovpvrne/a-6.jpg?width=400&height=233&rmode=max&quality=50&s=O3GkVTUaYlI0RWzYokkGCR5bhNw
Betri,Vágsgeil ,3,700 ,Klaksvík,1950000,1950000,2023-11-06 10:00:00,1965,184,295,6,2,https://betriheim.cdn.fo/savn/gp1nolbp/37.jpg?width=400&height=233&rmode=max&quality=50&s=17DMoyrfPeDnwqOGEOMF-NQCtUI
Betri,Bøgøta ,6,100 ,Tórshavn,3995000,,,2018,126,157,2,2,https://betriheim.cdn.fo/savn/m2om5cvw/c07.jpg?width=400&height=233&rmode=max&quality=50&s=ErtvEyxF2eQltl9oybkG3jAqLS4
Betri,Kráarvegur ,20,530 ,Fuglafjørður,1995000,,,1990,264,500,5,2,https://betriheim.cdn.fo/savn/at4asmwl/f-3.jpg?width=400&height=233&rmode=max&quality=50&s=-iWzXPw46wQFY1EwYMlOLcbF5LU
Betri,Blikagøta ,7,620 ,Runavík,2695000,2400000,2023-11-01 15:00:00,2012,79,76,2,1,https://betriheim.cdn.fo/savn/zkedh03v/20.jpg?width=400&height=233&rmode=max&quality=50&s=P-YEtVR_j07fl129bvQeCo6mlG8
Betri,Við Sílá ,9,800 ,Tvøroyri,200000,,,1950,222,441,4,3,https://betriheim.cdn.fo/savn/iy4jmq4d/13.jpg?width=400&height=233&rmode=max&quality=50&s=RKYcWeyaxF_hCc0C5GHpCBvDa4c
Betri,Ærgisbrekka ,1,600 ,Saltangará,4700000,,,2003,360,616,5,3,https://betriheim.cdn.fo/savn/iapkxe3x/36.jpg?width=400&height=233&rmode=max&quality=50&s=uTKTrmL6iGBUYpXNhkN_dyDvRoE
Betri,Geilarvegur ,5,478 ,Elduvík,2695000,2400000,2023-11-01 16:00:00,2018,100,450,2,1,https://betriheim.cdn.fo/savn/0ghk0kxd/15.jpg?width=400&height=233&rmode=max&quality=50&s=jH5u_A8A1YMvXZ6qmd_kCQyDxRA
Betri,Niels Winthersgøta ,9,100 ,Tórshavn,9450000,,,1947,555,185,,3,https://betriheim.cdn.fo/savn/mgnjrqo5/35.jpg?width=400&height=233&rmode=max&quality=50&s=UqePDo8lbuFVvhCixzO-fACEg6w
